accession,id,description,keyword,,,,
PF03381,CDC50,LEM3 (ligand-effect modulator 3) family / CDC50 family,membrane,,,,
PF03412,Peptidase_C39,Peptidase C39 family,membrane,,,,
PF03503,Chlam_OMP3,Chlamydia cysteine-rich outer membrane protein 3,membrane,,,,
PF03504,Chlam_OMP6,Chlamydia cysteine-rich outer membrane protein 6,membrane,,,,
PF03547,Mem_trans,Membrane transport protein,membrane,,,,
PF03552,Cellulose_synt,Cellulose synthase,membrane,,,,
PF03553,Na_H_antiporter,Na+/H+ antiporter family,membrane,,,,
PF03594,BenE,Benzoate membrane transport protein,membrane,,,,
PF03605,DcuA_DcuB,Anaerobic c4-dicarboxylate membrane transporter,membrane,,,,
PF03626,COX4_pro,Prokaryotic Cytochrome C oxidase subunit IV ,membrane,,,,
PF03661,UPF0121,Uncharacterised protein family (UPF0121),membrane,,,,
PF03662,Glyco_hydro_79n,"Glycosyl hydrolase family 79, N-terminal domain ",membrane,,,,
PF03694,Erg28,Erg28 like protein,membrane,,,,
PF03699,UPF0182,Uncharacterised protein family (UPF0182),membrane,,,,
PF03741,TerC,Integral membrane protein TerC family,membrane,,,,
PF03824,NicO,High-affinity nickel-transport protein,membrane,,,,
PF03843,Slp,Outer membrane lipoprotein Slp family,membrane,,,,
PF04066,MrpF_PhaF,Multiple resistance and pH regulation protein F (MrpF / PhaF),membrane,,,,
PF04069,OpuAC,Substrate binding domain of ABC-type glycine betaine transport system,membrane,,,,
PF04103,CD20,CD20-like family,membrane,,,,
PF04117,Mpv17_PMP22,Mpv17 / PMP22 family ,membrane,,,,
PF04142,Nuc_sug_transp,Nucleotide-sugar transporter,membrane,,,,
PF04144,SCAMP,SCAMP family,membrane,,,,
PF04186,FxsA,FxsA cytoplasmic membrane protein ,membrane,,,,
PF04226,Transgly_assoc,Transglycosylase associated protein,membrane,,,,
PF04258,Peptidase_A22B,Signal peptide peptidase,membrane,,,,
PF04281,Tom22,Mitochondrial import receptor subunit Tom22 ,membrane,,,,
PF04335,VirB8,VirB8 protein,membrane,,,,
PF04347,FliO,"Flagellar biosynthesis protein, FliO",membrane,,,,
PF04479,RTA1,RTA1 like protein,membrane,,,,
PF04505,CD225,Interferon-induced transmembrane protein,membrane,,,,
PF04632,FUSC,Fusaric acid resistance protein family,membrane,,,,
PF04647,AgrB,Accessory gene regulator B,membrane,,,,
PF04650,YSIRK_signal,YSIRK type signal peptide,membrane,,,,
PF04718,ATP-synt_G,Mitochondrial ATP synthase g subunit,membrane,,,,
PF04741,InvH,InvH outer membrane lipoprotein,membrane,,,,
PF04834,Adeno_E3_14_5,Early E3 14.5 kDa protein,membrane,,,,
PF04882,Peroxin-3,Peroxin-3,membrane,,,,
PF04893,Yip1,Yip1 domain,membrane,,,,
PF04973,NMN_transporter,Nicotinamide mononucleotide transporter,membrane,,,,
PF04976,DmsC,DMSO reductase anchor subunit (DmsC),membrane,,,,
PF05008,V-SNARE,Vesicle transport v-SNARE protein N-terminus,membrane,,,,
PF05241,EBP,Emopamil binding protein ,membrane,,,,
PF05297,Herpes_LMP1,Herpesvirus latent membrane protein 1 (LMP1),membrane,,,,
PF05313,Pox_P21,Poxvirus P21 membrane protein,membrane,,,,
PF05433,Rick_17kDa_Anti,Glycine zipper 2TM domain,membrane,,,,
PF05450,Nicastrin,Nicastrin,membrane,,,,
PF05504,Spore_GerAC,"Spore germination B3/ GerAC like, C-terminal ",membrane,,,,
PF05529,Bap31,Bap31/Bap29 transmembrane region,membrane,,,,
PF05558,DREPP,DREPP plasma membrane polypeptide,membrane,,,,
PF05571,JAMP,JNK1/MAPK8-associated membrane protein,membrane,,,,
PF05602,CLPTM1,Cleft lip and palate transmembrane protein 1 (CLPTM1),membrane,,,,
PF05648,PEX11,Peroxisomal biogenesis factor 11 (PEX11),membrane,,,,
PF05653,Mg_trans_NIPA,Magnesium transporter NIPA,membrane,,,,
PF05745,CRPA,Chlamydia 15 kDa cysteine-rich outer membrane protein (CRPA),membrane,,,,
PF05818,TraT,Enterobacterial TraT complement resistance protein,membrane,,,,
PF05975,EcsB,Bacterial ABC transporter protein EcsB,membrane,,,,
PF06105,Aph-1,Aph-1 protein,membrane,,,,
PF06177,QueT,QueT transporter,membrane,,,,
PF06211,BAMBI,BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain,membrane,,,,
PF06389,Filo_VP24,Filovirus membrane-associated protein VP24,membrane,,,,
PF06422,PDR_CDR,CDR ABC transporter,membrane,,,,
PF06423,GWT1,GWT1,membrane,,,,
PF06472,ABC_membrane_2,ABC transporter transmembrane region 2,membrane,,,,
PF06519,TolA,TolA C-terminal,membrane,,,,
PF06645,SPC12,Microsomal signal peptidase 12 kDa subunit (SPC12),membrane,,,,
PF06682,SARAF,SOCE-associated regulatory factor of calcium homoeostasis,membrane,,,,
PF06687,SUR7,SUR7/PalI family,membrane,,,,
PF06703,SPC25,Microsomal signal peptidase 25 kDa subunit (SPC25),membrane,,,,
PF06800,Sugar_transport,Sugar transport protein,membrane,,,,
PF06814,Lung_7-TM_R,Lung seven transmembrane receptor,membrane,,,,
PF07155,ECF-ribofla_trS,"ECF-type riboflavin transporter, S component",membrane,,,,
PF07178,TraL,TraL protein,membrane,,,,
PF07243,Phlebovirus_G1,Phlebovirus glycoprotein G1,membrane,,,,
PF07297,DPM2,Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2),membrane,,,,
PF07548,ChlamPMP_M,Chlamydia polymorphic membrane protein middle domain,membrane,,,,
PF07664,FeoB_C,Ferrous iron transport protein B C terminus,membrane,,,,
PF07694,5TM-5TMR_LYT,5TMR of 5TMR-LYT,membrane,,,,
PF07810,TMC,TMC domain,membrane,,,,
PF07851,TMPIT,TMPIT-like protein,membrane,,,,
PF07947,YhhN,YhhN family,membrane,,,,
PF07961,MBA1,MBA1-like protein,membrane,,,,
PF08038,Tom7,TOM7 family,membrane,,,,
PF08112,ATP-synt_E_2,ATP synthase epsilon subunit,membrane,,,,
PF08118,MDM31_MDM32,Yeast mitochondrial distribution and morphology (MDM) proteins ,membrane,,,,
PF08172,CASP_C,CASP C terminal,membrane,,,,
PF08219,TOM13,Outer membrane protein TOM13,membrane,,,,
PF08294,TIM21,TIM21,membrane,,,,
PF08491,SE,Squalene epoxidase,membrane,,,,
PF08551,DUF1751,Eukaryotic integral membrane protein (DUF1751),membrane,,,,
PF08619,Nha1_C,Alkali metal cation/H+ antiporter Nha1 C terminus,membrane,,,,
PF08718,GLTP,Glycolipid transfer protein (GLTP),membrane,,,,
PF08918,PhoQ_Sensor,PhoQ Sensor,membrane,,,,
PF09402,MSC,Man1-Src1p-C-terminal domain,membrane,,,,
PF09604,Potass_KdpF,F subunit of K+-transporting ATPase (Potass_KdpF),membrane,,,,
PF10171,Tim29,Translocase of the Inner Mitochondrial membrane 29,membrane,,,,
PF10192,GpcrRhopsn4,Rhodopsin-like GPCR transmembrane domain,membrane,,,,
PF10261,Scs3p,Inositol phospholipid synthesis and fat-storage-inducing TM,membrane,,,,
PF10568,Tom37,Outer mitochondrial membrane transport complex protein,membrane,,,,
PF11045,YbjM,Putative inner membrane protein of Enterobacteriaceae,membrane,,,,
PF11093,Mitochondr_Som1,Mitochondrial export protein Som1,membrane,,,,
PF11382,MctB,"Copper transport outer membrane protein, MctB",membrane,,,,
PF11389,Porin_OmpL1,Leptospira porin protein OmpL1,membrane,,,,
PF12250,AftA_N,Arabinofuranosyltransferase N terminal,membrane,,,,
PF12351,Fig1,Ca2+ regulator and membrane fusion protein Fig1,membrane,,,,
PF12409,P5-ATPase,P5-type ATPase cation transporter,membrane,,,,
PF12634,Inp1,Inheritance of peroxisomes protein 1,membrane,,,,
PF12679,ABC2_membrane_2,ABC-2 family transporter protein,membrane,,,,
PF12730,ABC2_membrane_4,ABC-2 family transporter protein,membrane,,,,
PF12929,Mid1,Stretch-activated Ca2+-permeable channel component,membrane,,,,
PF13000,Acatn,Acetyl-coenzyme A transporter 1,membrane,,,,
PF13367,PrsW-protease,PrsW family intramembrane metalloprotease,membrane,,,,
PF13748,ABC_membrane_3,ABC transporter transmembrane region,membrane,,,,
PF14171,SpoIISA_toxin,"Toxin SpoIISA, type II toxin-antitoxin system",membrane,,,,
PF14611,SLS,Mitochondrial inner-membrane-bound regulator,membrane,,,,
PF15050,SCIMP,SCIMP protein,membrane,,,,
PF15077,MAJIN,Membrane-anchored junction protein ,membrane,,,,
PF15127,SmAKAP,Small membrane A-kinase anchor protein,membrane,,,,
PF15184,TOM6p,Mitochondrial import receptor subunit TOM6 homolog,membrane,,,,
PF15347,PAG,Phosphoprotein associated with glycosphingolipid-enriched,membrane,,,,
PF16411,SusF_SusE,Outer membrane protein SusF_SusE,membrane,,,,
PF16965,CSG2,Ceramide synthase regulator,membrane,,,,
PF01810,LysE,LysE type translocator,membrane,,,,
PF02325,YGGT,YGGT family,membrane,,,,
PF02366,PMT,Dolichyl-phosphate-mannose-protein mannosyltransferase ,membrane,,,,
PF02652,Lactate_perm,L-lactate permease,membrane,,,,
PF03253,UT,Urea transporter,membrane,,,,
PF03401,TctC,Tripartite tricarboxylate transporter family receptor,membrane,,,,
PF04999,FtsL,Cell division protein FtsL,membrane,,,,
PF06624,RAMP4,Ribosome associated membrane protein RAMP4,membrane,,,,
PF10104,Brr6_like_C_C,Di-sulfide bridge nucleocytoplasmic transport domain,membrane,,,,
PF12537,GPHR_N,The Golgi pH Regulator (GPHR) Family N-terminal,membrane,,,,
PF15061,DUF4538,Domain of unknown function (DUF4538),membrane,,,,
PF16944,KCH,Fungal potassium channel,membrane,,,,
PF17323,ToxS,Trans-membrane regulatory protein ToxS,membrane,,,,
PF00379,Chitin_bind_4,Insect cuticle protein,membrane,,,,
PF00932,LTD,Lamin Tail Domain,membrane,,,,
PF01146,Caveolin,Caveolin,membrane,,,,
PF01403,Sema,Sema domain,membrane,,,,
PF01431,Peptidase_M13,Peptidase family M13,membrane,,,,
PF01490,Aa_trans,Transmembrane amino acid transporter protein,membrane,,,,
PF01595,DUF21,Cyclin M transmembrane N-terminal domain,membrane,,,,
PF01618,MotA_ExbB,MotA/TolQ/ExbB proton channel family,membrane,,,,
PF01644,Chitin_synth_1,Chitin synthase,membrane,,,,
PF01663,Phosphodiest,Type I phosphodiesterase / nucleotide pyrophosphatase,membrane,,,,
PF01734,Patatin,Patatin-like phospholipase,membrane,,,,
PF01809,YidD,Putative membrane protein insertion efficiency factor,membrane,,,,
PF01825,GPS,"GPCR proteolysis site, GPS, motif ",membrane,,,,
PF01856,HP_OMP,Helicobacter outer membrane protein,membrane,,,,
PF01889,DUF63,Membrane protein of unknown function DUF63,membrane,,,,
PF01901,O_anti_polymase,Putative O-antigen polymerase,membrane,,,,
PF01944,SpoIIM,Stage II sporulation protein M,membrane,,,,
PF01970,TctA,Tripartite tricarboxylate transporter TctA family,membrane,,,,
PF01976,DUF116,Protein of unknown function DUF116,membrane,,,,
PF01998,DUF131,Protein of unknown function DUF131,membrane,,,,
PF02121,IP_trans,Phosphatidylinositol transfer protein,membrane,,,,
PF02405,MlaE,Permease MlaE,membrane,,,,
PF02415,Chlam_PMP,Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat,membrane,,,,
PF02433,FixO,"Cytochrome C oxidase, mono-heme subunit/FixO",membrane,,,,
PF02442,L1R_F9L,Lipid membrane protein of large eukaryotic DNA viruses,membrane,,,,
PF02470,MlaD,MlaD protein,membrane,,,,
PF02493,MORN,MORN repeat,membrane,,,,
PF02521,HP_OMP_2,Putative outer membrane protein,membrane,,,,
PF02588,YitT_membrane,"Uncharacterised 5xTM membrane BCR, YitT family COG1284",membrane,,,,
PF02656,DUF202,Domain of unknown function (DUF202),membrane,,,,
PF02659,Mntp,Putative manganese efflux pump,membrane,,,,
PF02743,dCache_1,Cache domain,membrane,,,,
PF02893,GRAM,GRAM domain,membrane,,,,
PF03003,Pox_G9-A16,Pox virus entry-fusion-complex G9/A16,membrane,,,,
PF03023,MurJ,Lipid II flippase MurJ,membrane,,,,
PF03062,MBOAT,"MBOAT, membrane-bound O-acyltransferase family",membrane,,,,
PF03077,VacA2,Putative vacuolating cytotoxin,membrane,,,,
PF03130,HEAT_PBS,PBS lyase HEAT-like repeat,membrane,,,,
PF03188,Cytochrom_B561,Eukaryotic cytochrome b561,membrane,,,,
PF03437,BtpA,BtpA family,membrane,,,,
PF03548,LolA,Outer membrane lipoprotein carrier protein LolA,membrane,,,,
PF03619,Solute_trans_a,Organic solute transporter Ostalpha,membrane,,,,
PF03703,bPH_2,Bacterial PH domain,membrane,,,,
PF03706,LPG_synthase_TM,Lysylphosphatidylglycerol synthase TM region,membrane,,,,
PF03707,MHYT,Bacterial signalling protein N terminal repeat,membrane,,,,
PF03729,DUF308,Short repeat of unknown function (DUF308),membrane,,,,
PF03733,YccF,Inner membrane component domain,membrane,,,,
PF03772,Competence,Competence protein,membrane,,,,
PF03773,ArsP_1,Predicted permease,membrane,,,,
PF03779,SPW,SPW repeat,membrane,,,,
PF03780,Asp23,"Asp23 family, cell envelope-related function",membrane,,,,
PF03862,SpoVAC_SpoVAEB,SpoVAC/SpoVAEB sporulation membrane protein,membrane,,,,
PF03878,YIF1,YIF1,membrane,,,,
PF03899,ATP-synt_I,ATP synthase I chain,membrane,,,,
PF03908,Sec20,Sec20,membrane,,,,
PF03929,PepSY_TM,PepSY-associated TM region,membrane,,,,
PF03956,Lys_export,Lysine exporter LysO,membrane,,,,
PF03969,AFG1_ATPase,AFG1-like ATPase,membrane,,,,
PF03977,OAD_beta,Na+-transporting oxaloacetate decarboxylase beta subunit,membrane,,,,
PF03988,DUF347,Repeat of Unknown Function (DUF347) ,membrane,,,,
PF03994,DUF350,Domain of Unknown Function (DUF350) ,membrane,,,,
PF04018,DUF368,Domain of unknown function (DUF368),membrane,,,,
PF04020,Phage_holin_4_2,"Mycobacterial 4 TMS phage holin, superfamily IV",membrane,,,,
PF04039,MnhB,Domain related to MnhB subunit of Na+/H+ antiporter,membrane,,,,
PF04070,DUF378,Domain of unknown function (DUF378),membrane,,,,
PF04100,Vps53_N,"Vps53-like, N-terminal ",membrane,,,,
PF04116,FA_hydroxylase,Fatty acid hydroxylase superfamily,membrane,,,,
PF04123,DUF373,Domain of unknown function (DUF373),membrane,,,,
PF04133,Vps55,Vacuolar protein sorting 55 ,membrane,,,,
PF04143,Sulf_transp,Sulphur transport,membrane,,,,
PF04148,Erv26,Transmembrane adaptor Erv26,membrane,,,,
PF04161,Arv1,Arv1-like family ,membrane,,,,
PF04165,DUF401,Protein of unknown function (DUF401) ,membrane,,,,
PF04170,NlpE,NlpE N-terminal domain,membrane,,,,
PF04172,LrgB,LrgB-like family ,membrane,,,,
PF04173,DoxD,TQO small subunit DoxD,membrane,,,,
PF04178,Got1,Got1/Sft2-like family ,membrane,,,,
PF04235,DUF418,Protein of unknown function (DUF418),membrane,,,,
PF04238,DUF420,Protein of unknown function (DUF420),membrane,,,,
PF04241,DUF423,Protein of unknown function (DUF423),membrane,,,,
PF04278,Tic22,Tic22-like family,membrane,,,,
PF04280,Tim44,Tim44-like domain,membrane,,,,
PF04284,DUF441,Protein of unknown function (DUF441),membrane,,,,
PF04286,DUF445,Protein of unknown function (DUF445),membrane,,,,
PF04304,DUF454,Protein of unknown function (DUF454),membrane,,,,
PF04306,DUF456,Protein of unknown function (DUF456),membrane,,,,
PF04307,YdjM,"LexA-binding, inner membrane-associated putative hydrolase",membrane,,,,
PF04332,DUF475,Protein of unknown function (DUF475),membrane,,,,
PF04341,DUF485,"Protein of unknown function, DUF485",membrane,,,,
PF04357,TamB,"TamB, inner membrane protein subunit of TAM complex",membrane,,,,
PF04367,DUF502,Protein of unknown function (DUF502),membrane,,,,
PF04375,HemX,"HemX, putative uroporphyrinogen-III C-methyltransferase",membrane,,,,
PF04391,DUF533,Protein of unknown function (DUF533),membrane,,,,
PF04393,DUF535,Protein of unknown function (DUF535),membrane,,,,
PF04403,PqiA,Paraquat-inducible protein A,membrane,,,,
PF04442,CtaG_Cox11,Cytochrome c oxidase assembly protein CtaG/Cox11,membrane,,,,
PF04474,DUF554,Protein of unknown function (DUF554),membrane,,,,
PF04478,Mid2,Mid2 like cell wall stress sensor,membrane,,,,
PF04515,Choline_transpo,Plasma-membrane choline transporter,membrane,,,,
PF04519,Bactofilin,Polymer-forming cytoskeletal,membrane,,,,
PF04531,Phage_holin_1,Bacteriophage holin,membrane,,,,
PF04534,Herpes_UL56,Herpesvirus UL56 protein,membrane,,,,
PF04535,DUF588,Domain of unknown function (DUF588),membrane,,,,
PF04536,TPM_phosphatase,TPM domain,membrane,,,,
PF04541,Herpes_U34,Herpesvirus virion protein U34 ,membrane,,,,
PF04544,Herpes_UL20,Herpesvirus egress protein UL20,membrane,,,,
PF04549,CD47,CD47 transmembrane region,membrane,,,,
PF04612,T2SSM,"Type II secretion system (T2SS), protein M",membrane,,,,
PF04657,DMT_YdcZ,"Putative inner membrane exporter, YdcZ ",membrane,,,,
PF04688,Holin_SPP1,SPP1 phage holin,membrane,,,,
PF04791,LMBR1,LMBR1-like membrane protein,membrane,,,,
PF04932,Wzy_C,O-Antigen ligase,membrane,,,,
PF04945,YHS,YHS domain,membrane,,,,
PF04955,HupE_UreJ,HupE / UreJ protein,membrane,,,,
PF04982,HPP,HPP family,membrane,,,,
PF05036,SPOR,Sporulation related domain,membrane,,,,
PF05078,DUF679,Protein of unknown function (DUF679),membrane,,,,
PF05101,VirB3,"Type IV secretory pathway, VirB3-like protein",membrane,,,,
PF05105,Phage_holin_4_1,Bacteriophage holin family ,membrane,,,,
PF05106,Phage_holin_3_1,Phage holin family (Lysis protein S),membrane,,,,
PF05140,ResB,ResB-like family ,membrane,,,,
PF05150,Legionella_OMP,Legionella pneumophila major outer membrane protein precursor,membrane,,,,
PF05154,TM2,TM2 domain,membrane,,,,
PF05170,AsmA,AsmA family,membrane,,,,
PF05216,UNC-50,UNC-50 family,membrane,,,,
PF05226,CHASE2,CHASE2 domain,membrane,,,,
PF05227,CHASE3,CHASE3 domain,membrane,,,,
PF05228,CHASE4,CHASE4 domain,membrane,,,,
PF05232,BTP,Chlorhexidine efflux transporter,membrane,,,,
PF05346,DUF747,Eukaryotic membrane protein family,membrane,,,,
PF05360,YiaAB,yiaA/B two helix domain,membrane,,,,
PF05449,Phage_holin_3_7,"Putative 3TM holin, Phage_holin_3",membrane,,,,
PF05466,BASP1,Brain acid soluble protein 1 (BASP1 protein),membrane,,,,
PF05473,UL45,"UL45 protein, carbohydrate-binding C-type lectin-like",membrane,,,,
PF05488,PAAR_motif,PAAR motif,membrane,,,,
PF05494,MlaC,MlaC protein,membrane,,,,
PF05495,zf-CHY,CHY zinc finger,membrane,,,,
PF05512,AWPM-19,AWPM-19-like family,membrane,,,,
PF05546,She9_MDM33,She9 / Mdm33 family,membrane,,,,
PF05620,TMEM208_SND2,SRP-independent targeting protein 2/TMEM208,membrane,,,,
PF05628,Borrelia_P13,Borrelia membrane protein P13,membrane,,,,
PF05736,OprF,OprF membrane domain,membrane,,,,
PF05751,FixH,FixH,membrane,,,,
PF05767,Pox_A14,Poxvirus virion envelope protein A14,membrane,,,,
PF05781,MRVI1,MRVI1 protein,membrane,,,,
PF05844,YopD,YopD protein,membrane,,,,
PF05861,PhnI,Bacterial phosphonate metabolism protein (PhnI),membrane,,,,
PF05925,IpgD,Enterobacterial virulence protein IpgD,membrane,,,,
PF05940,NnrS,NnrS protein,membrane,,,,
PF05950,Orthopox_A36R,Orthopoxvirus A36R protein,membrane,,,,
PF05961,Chordopox_A13L,Chordopoxvirus A13L protein,membrane,,,,
PF05963,Cytomega_US3,Cytomegalovirus US3 protein,membrane,,,,
PF05966,Chordopox_A33R,Chordopoxvirus A33R protein,membrane,,,,
PF05987,DUF898,Bacterial protein of unknown function (DUF898),membrane,,,,
PF06015,Chordopox_A30L,Chordopoxvirus A30L protein,membrane,,,,
PF06081,ArAE_1,Aromatic acid exporter family member 1,membrane,,,,
PF06082,YjbH,Exopolysaccharide biosynthesis protein YbjH,membrane,,,,
PF06085,Rz1,Lipoprotein Rz1 precursor,membrane,,,,
PF06092,DUF943,Enterobacterial putative membrane protein (DUF943),membrane,,,,
PF06123,CreD,Inner membrane protein CreD,membrane,,,,
PF06149,DUF969,Protein of unknown function (DUF969),membrane,,,,
PF06166,DUF979,Protein of unknown function (DUF979),membrane,,,,
PF06167,Peptidase_M90,Glucose-regulated metallo-peptidase M90,membrane,,,,
PF06173,DUF986,Protein of unknown function (DUF986),membrane,,,,
PF06181,Urate_ox_N,Urate oxidase N-terminal,membrane,,,,
PF06196,DUF997,Protein of unknown function (DUF997),membrane,,,,
PF06271,RDD,RDD family,membrane,,,,
PF06347,SH3_4,Bacterial SH3 domain,membrane,,,,
PF06398,Pex24p,Integral peroxisomal membrane peroxin,membrane,,,,
PF06496,DUF1097,Protein of unknown function (DUF1097),membrane,,,,
PF06541,ABC_trans_CmpB,Putative ABC-transporter type IV,membrane,,,,
PF06578,YscK,YOP proteins translocation protein K (YscK),membrane,,,,
PF06629,MipA,MltA-interacting protein MipA,membrane,,,,
PF06667,PspB,Phage shock protein B,membrane,,,,
PF06724,DUF1206,Domain of Unknown Function (DUF1206),membrane,,,,
PF06750,DiS_P_DiS,Bacterial Peptidase A24 N-terminal domain,membrane,,,,
PF06762,LMF1,Lipase maturation factor,membrane,,,,
PF06775,Seipin,Putative adipose-regulatory protein (Seipin),membrane,,,,
PF06779,MFS_4,Uncharacterised MFS-type transporter YbfB,membrane,,,,
PF06781,CrgA,Cell division protein CrgA,membrane,,,,
PF06796,NapE,Periplasmic nitrate reductase protein NapE,membrane,,,,
PF06808,DctM,"Tripartite ATP-independent periplasmic transporter, DctM component",membrane,,,,
PF06812,ImpA_N,"ImpA, N-terminal, type VI secretion system",membrane,,,,
PF06826,Asp-Al_Ex,Predicted Permease Membrane Region,membrane,,,,
PF06835,LptC,"Lipopolysaccharide-assembly, LptC-related",membrane,,,,
PF06836,DUF1240,Protein of unknown function (DUF1240),membrane,,,,
PF06864,PAP_PilO,Pilin accessory protein (PilO),membrane,,,,
PF06897,DUF1269,Protein of unknown function (DUF1269),membrane,,,,
PF06930,DUF1282,Protein of unknown function (DUF1282),membrane,,,,
PF06942,GlpM,GlpM protein,membrane,,,,
PF06946,Phage_holin_5_1,"Bacteriophage A118-like holin, Hol118",membrane,,,,
PF06979,TMEM70,"Assembly, mitochondrial proton-transport ATP synth complex",membrane,,,,
PF07002,Copine,Copine,membrane,,,,
PF07016,CRAM_rpt,Cysteine-rich acidic integral membrane protein precursor,membrane,,,,
PF07099,DUF1361,Protein of unknown function (DUF1361),membrane,,,,
PF07158,MatC_N,Dicarboxylate carrier protein MatC N-terminus,membrane,,,,
PF07219,HemY_N,HemY protein N-terminus,membrane,,,,
PF07242,DUF1430,Protein of unknown function (DUF1430),membrane,,,,
PF07245,Phlebovirus_G2,Phlebovirus glycoprotein G2,membrane,,,,
PF07254,Cpta_toxin,Membrane-bound toxin component of toxin-antitoxin system,membrane,,,,
PF07274,DUF1440,Protein of unknown function (DUF1440),membrane,,,,
PF07283,TrbH,Conjugal transfer protein TrbH,membrane,,,,
PF07296,TraP,TraP protein,membrane,,,,
PF07303,Occludin_ELL,Occludin homology domain,membrane,,,,
PF07314,DUF1461,Protein of unknown function (DUF1461),membrane,,,,
PF07332,Phage_holin_3_6,"Putative Actinobacterial Holin-X, holin superfamily III",membrane,,,,
PF07393,Sec10,Exocyst complex component Sec10,membrane,,,,
PF07399,Na_H_antiport_3,Putative Na+/H+ antiporter,membrane,,,,
PF07418,PCEMA1,Acidic phosphoprotein precursor PCEMA1,membrane,,,,
PF07419,PilM,PilM,membrane,,,,
PF07483,W_rich_C,Tryptophan-rich Synechocystis species C-terminal domain,membrane,,,,
PF07584,BatA,Aerotolerance regulator N-terminal,membrane,,,,
PF07642,BBP2,"Putative beta-barrel porin-2, OmpL-like. bbp2",membrane,,,,
PF07693,KAP_NTPase,KAP family P-loop domain,membrane,,,,
PF07695,7TMR-DISM_7TM,7TM diverse intracellular signalling,membrane,,,,
PF07696,7TMR-DISMED2,7TMR-DISM extracellular 2,membrane,,,,
PF07698,7TM-7TMR_HD,7TM receptor with intracellular HD hydrolase,membrane,,,,
PF07774,EMC1_C,"ER membrane protein complex subunit 1, C-terminal",membrane,,,,
PF07787,TMEM43,Transmembrane protein 43,membrane,,,,
PF07811,TadE,TadE-like protein,membrane,,,,
PF07819,PGAP1,PGAP1-like protein,membrane,,,,
PF07835,COX4_pro_2,Bacterial aa3 type cytochrome c oxidase subunit IV,membrane,,,,
PF07843,DUF1634,Protein of unknown function (DUF1634),membrane,,,,
PF07907,YibE_F,YibE/F-like protein,membrane,,,,
PF07916,TraG_N,"TraG-like protein, N-terminal region",membrane,,,,
PF08006,DUF1700,Protein of unknown function (DUF1700),membrane,,,,
PF08044,DUF1707,Domain of unknown function (DUF1707),membrane,,,,
PF08114,PMP1_2,ATPase proteolipid family,membrane,,,,
PF08173,YbgT_YccB,Membrane bound YbgT-like protein,membrane,,,,
PF08192,Peptidase_S64,Peptidase family S64,membrane,,,,
PF08229,SHR3_chaperone,ER membrane protein SH3 ,membrane,,,,
PF08316,Pal1,Pal1 cell morphology protein,membrane,,,,
PF08334,T2SSG,"Type II secretion system (T2SS), protein G",membrane,,,,
PF08372,PRT_C,Plant phosphoribosyltransferase C-terminal,membrane,,,,
PF08390,TRAM1,TRAM1-like protein,membrane,,,,
PF08426,ICE2,ICE2,membrane,,,,
PF08486,SpoIID,Stage II sporulation protein,membrane,,,,
PF08557,Lipid_DES,Sphingolipid Delta4-desaturase (DES),membrane,,,,
PF08602,Mgr1,"Mgr1-like, i-AAA protease complex subunit",membrane,,,,
PF08610,Pex16,Peroxisomal membrane protein (Pex16),membrane,,,,
PF08660,Alg14,Oligosaccharide biosynthesis protein Alg14 like,membrane,,,,
PF08693,SKG6,Transmembrane alpha-helix domain,membrane,,,,
PF08695,Coa1,Cytochrome oxidase complex assembly protein 1,membrane,,,,
PF08733,PalH,PalH/RIM21,membrane,,,,
PF08737,Rgp1,Rgp1,membrane,,,,
PF08786,DcrB,DcrB,membrane,,,,
PF08849,DUF1819,Putative inner membrane protein (DUF1819),membrane,,,,
PF09163,Form-deh_trans,"Formate dehydrogenase N, transmembrane",membrane,,,,
PF09203,MspA,MspA,membrane,,,,
PF09262,PEX-1N,"Peroxisome biogenesis factor 1, N-terminal ",membrane,,,,
PF09325,Vps5,Vps5 C terminal like,membrane,,,,
PF09333,ATG_C,Autophagy-related protein C terminal domain,membrane,,,,
PF09419,PGP_phosphatase,Mitochondrial PGP phosphatase,membrane,,,,
PF09446,VMA21,VMA21-like domain,membrane,,,,
PF09463,Opy2,Opy2 protein,membrane,,,,
PF09489,CbtB,Probable cobalt transporter subunit (CbtB),membrane,,,,
PF09490,CbtA,Probable cobalt transporter subunit (CbtA),membrane,,,,
PF09527,ATPase_gene1,Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter,membrane,,,,
PF09529,Intg_mem_TP0381,Integral membrane protein (intg_mem_TP0381),membrane,,,,
PF09534,Trp_oprn_chp,Tryptophan-associated transmembrane protein (Trp_oprn_chp),membrane,,,,
PF09578,Spore_YabQ,Spore cortex protein YabQ (Spore_YabQ),membrane,,,,
PF09600,Cyd_oper_YbgE,Cyd operon protein YbgE (Cyd_oper_YbgE),membrane,,,,
PF09608,Alph_Pro_TM,Putative transmembrane protein (Alph_Pro_TM),membrane,,,,
PF09624,DUF2393,Protein of unknown function (DUF2393),membrane,,,,
PF09656,PGPGW,Putative transmembrane protein (PGPGW),membrane,,,,
PF09676,TraV,Type IV conjugative transfer system lipoprotein (TraV),membrane,,,,
